"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/b","break in time series","","b","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/c","confidential","","c","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/d","definition differs (see metadata)","","d","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/e","estimated","","e","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/f","forecast","","f","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/i","see metadata (phased out)","","i","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/n","not significant","","n","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/p","provisional","","p","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/r","revised","","r","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/s","Eurostat estimate","","s","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/u","low reliability","","u","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/z","not applicable","","z","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bc","break in time series, confidential","","bc","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bcp","Break in series, Confidential data, Provisional","","bcp","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bcpr","Break in series, Confidential data, Revised and still provisional value","","bcpr","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bcr","Break in series, Confidential data, Revised","","bcr","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/be","break in time series, estimated","","be","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bei","Break in series, Estimated value, See explanatory text","","bei","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bep","break in time series, estimated, provisional","","bep","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bepr","Break in series, Estimated value, Revised and still provisional value","","bepr","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/ber","break in time series, estimated, revised","","ber","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bi","Break in series, See explanatory text","","bi","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bip","Break in series, See explanatory text, Provisional","","bip","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bir","Break in series, See explanatory text, Revised","","bir","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bp","break in time series, provisional","","bp","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bpr","Break in series, Revised and still provisional value","","bpr","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bprs","Break in series, Revised and still provisional value, Eurostat estimate","","bprs","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bpru","Break in series, Revised and still provisional value, Unreliable data","","bpru","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bprz","Break in series, Revised and still provisional value, Not applicable","","bprz","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bps","break in time series, provisional, Eurostat estimate","","bps","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bpu","break in time series, provisional, low reliability","","bpu","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bpz","Break in series, Provisional, Not applicable","","bpz","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/br","break in time series, revised","","br","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/brs","break in time series, revised, Eurostat estimate","","brs","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bru","Break in series, Revised, Unreliable data","","bru","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/brz","Break in series, Revised, Not applicable","","brz","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bs","break in time series, Eurostat estimate","","bs","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bu","break in time series, low reliability","","bu","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/bz","break in time series, not applicable","","bz","valid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/ce","Confidential data, Estimated value","","ce","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cei","Confidential data, Estimated value, See explanatory text","","cei","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/ceip","Confidential data, Estimated value, See explanatory text, Provisional","","ceip","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cep","Confidential data, Estimated value, Provisional","","cep","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cepr","Confidential data, Estimated value, Revised and still provisional value","","cepr","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cer","Confidential data, Estimated value, Revised","","cer","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/ci","Confidential data, See explanatory text","","ci","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cip","Confidential data, See explanatory text, Provisional","","cip","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cis","Confidential data, See explanatory text, Eurostat estimate","","cis","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cp","confidential, provisional","","cp","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cpr","Confidential data, Revised and still provisional value","","cpr","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cprs","Confidential data, Revised and still provisional value, Eurostat estimate","","cprs","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cpru","Confidential data, Revised and still provisional value, Unreliable data","","cpru","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cps","Confidential data, Provisional, Eurostat estimate","","cps","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cpu","Confidential data, Provisional, Unreliable data","","cpu","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cr","Confidential data, Revised","","cr","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/crs","Confidential data, Revised, Eurostat estimate","","crs","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cru","Confidential data, Revised, Unreliable data","","cru","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cs","Confidential data, Eurostat estimate","","cs","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/cu","Confidential data, Unreliable data","","cu","invalid","2013-01-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/obs_status/ei","Estimated value, See explanatory text","","ei","invalid","2013-01-28"
