Tabela_Final_País,Tabela_Final_Código,Tabela_Final_Ano,Tabela_Final_Energia_Hídrica_,Tabela_Final_Energia_Éolica_,Tabela_Final_Energia_Solar_,Tabela_Final_Energia_Renovável_,Tabela_Final_Renewables_bins_
Algeria,DZA,1985,5.26,0.00,0.00,0.73,0.00
Algeria,DZA,1986,1.93,0.00,0.00,0.27,0.00
Algeria,DZA,1987,3.92,0.00,0.00,0.52,0.00
Algeria,DZA,1988,1.31,0.00,0.00,0.18,0.00
Algeria,DZA,1989,1.47,0.00,0.00,0.23,0.00
Algeria,DZA,1990,0.84,0.00,0.00,0.13,0.00
Algeria,DZA,1991,1.69,0.00,0.00,0.28,0.00
Algeria,DZA,1992,1.09,0.00,0.00,0.18,0.00
Algeria,DZA,1993,1.82,0.00,0.00,0.35,0.00
Algeria,DZA,1994,0.83,0.00,0.00,0.16,0.00
Algeria,DZA,1995,0.98,0.00,0.00,0.18,0.00
Algeria,DZA,1996,0.65,0.00,0.00,0.13,0.00
Algeria,DZA,1997,0.35,0.00,0.00,0.07,0.00
Algeria,DZA,1998,0.92,0.00,0.00,0.21,0.00
Algeria,DZA,1999,0.82,0.00,0.00,0.19,0.00
Algeria,DZA,2000,0.21,0.00,0.00,0.05,0.00
Algeria,DZA,2001,0.28,0.00,0.00,0.07,0.00
Algeria,DZA,2002,0.23,0.00,0.00,0.05,0.00
Algeria,DZA,2003,0.93,0.00,0.00,0.23,0.00
Algeria,DZA,2004,0.85,0.00,0.00,0.21,0.00
Algeria,DZA,2005,1.72,0.00,0.00,0.43,0.00
Algeria,DZA,2006,0.66,0.00,0.00,0.16,0.00
Algeria,DZA,2007,0.63,0.00,0.00,0.16,0.00
Algeria,DZA,2008,0.74,0.00,0.00,0.19,0.00
Algeria,DZA,2009,0.83,0.00,0.00,0.21,0.00
Algeria,DZA,2010,0.40,0.00,0.00,0.12,0.00
Algeria,DZA,2011,1.04,0.00,0.00,0.24,0.00
Algeria,DZA,2012,1.15,0.00,0.00,0.22,0.00
Algeria,DZA,2013,0.59,0.00,0.00,0.06,0.00
Algeria,DZA,2014,0.41,0.00,0.00,0.12,0.00
Algeria,DZA,2015,0.22,0.03,0.09,0.10,0.00
Algeria,DZA,2016,0.33,0.04,0.13,0.15,0.00
Algeria,DZA,2017,0.08,0.01,0.80,0.25,0.00
Algeria,DZA,2018,0.17,0.01,0.90,0.29,0.00
Algeria,DZA,2019,0.20,0.01,0.89,0.29,0.00
Algeria,DZA,2020,0.07,0.01,0.91,0.30,0.00
Algeria,DZA,2021,0.12,0.01,1.04,0.26,0.00
Argentina,ARG,1985,45.59,0.00,0.00,12.76,0.00
Argentina,ARG,1986,42.90,0.00,0.00,12.30,0.00
Argentina,ARG,1987,42.05,0.00,0.00,12.25,0.00
Argentina,ARG,1988,29.07,0.00,0.00,8.42,0.00
Argentina,ARG,1989,25.93,0.00,0.00,7.54,0.00
Argentina,ARG,1990,34.73,0.00,0.00,10.29,0.00
Argentina,ARG,1991,29.47,0.00,0.00,9.08,0.00
Argentina,ARG,1992,34.16,0.00,0.00,10.21,0.00
Argentina,ARG,1993,38.42,0.00,0.00,12.22,0.00
Argentina,ARG,1994,41.58,0.00,0.00,13.31,0.00
Argentina,ARG,1995,39.46,0.00,0.00,12.54,0.00
Argentina,ARG,1996,32.21,0.01,0.00,10.23,0.00
Argentina,ARG,1997,38.54,0.02,0.00,12.51,0.00
Argentina,ARG,1998,35.70,0.04,0.00,11.48,0.00
Argentina,ARG,1999,26.50,0.04,0.00,9.23,0.00
Argentina,ARG,2000,33.42,0.05,0.00,12.28,0.00
Argentina,ARG,2001,42.37,0.06,0.00,15.94,14.48
Argentina,ARG,2002,43.73,0.09,0.00,16.25,14.48
Argentina,ARG,2003,37.97,0.09,0.00,14.41,0.00
Argentina,ARG,2004,31.50,0.07,0.00,12.19,0.00
Argentina,ARG,2005,33.37,0.08,0.00,12.79,0.00
Argentina,ARG,2006,33.73,0.06,0.00,13.45,0.00
